f,gain,split
nextClick,2403295.34,62
app,16597973.12,65
os,989605.40,42
channel,29892501.32,97
device,285313.20,12
hour,393704.56,22
ip_app_count,938093.97,9
X3,643269.20,20
X8,338961.22,15
ipday_count,2368472.74,33
ipday_count_roll,101059.31,1
