f,gain,split
channel,3598741.1388549805,366
os,3525138.4624023438,243
app,7772523.637329102,206
hour,1232105.9251098633,163
next_click_dt,8550766.97151184,151
ip_mean_target,1058282.5715332031,56
channel_cnt_ip_day_hour,1312513.3833007812,55
app_nunique_ip_device_os,723146.6215820312,38
channel_nunique_ip,3155412.1076660156,38
app_nunique_ip,3411798.2346191406,34
app_mean_target,130026589.59838867,33
channel_mean_target,12859765.085784912,32
hour_nunique_ip_day,1528476.2397460938,29
channel_cnt_ip_app,146958.99745178223,29
app_cumcnt_ip_device_os,531571.3814697266,26
device,351206.9956970215,24
device_cnt_ip_app_os_channel_day_hour,97535.42065429688,23
ip,48789.11697387695,18
hour_mean_target,168932.2481689453,16
ip_nunique_channel,26981.480102539062,8
os_mean_target,35090.84020996094,5
device_mean_target,104903.419921875,2
app_nunique_channel,1947.3599853515625,1
day,0.0,0
