f,gain,split
channel,3541537.1563720703,365
os,3386851.015991211,245
app,7379112.144836426,214
hour,1237461.6648254395,177
next_click_dt,8227043.960205078,136
channel_cnt_ip_day_hour,938537.0083007812,51
ip_mean_target,932252.1298828125,48
channel_nunique_ip,2306742.4616241455,37
app_mean_target,129062979.54053497,36
channel_mean_target,14666786.278320312,31
app_nunique_ip_device_os,564692.0285644531,31
app_nunique_ip,3645058.8608398438,29
os_nunique_ip_app,140359.4395751953,24
hour_nunique_ip_day,1911746.5985107422,23
channel_cnt_ip_app_os,305777.7600097656,22
device,405778.40881347656,21
device_nunique_ip,739328.0904541016,20
app_cumcnt_ip_device_os,633147.7225341797,19
device_cnt_ip_app_os_channel_day_hour,82131.20922851562,19
hour_mean_target,212185.59899902344,16
ip,47205.279541015625,16
os_cumcnt_ip,64130.36145019531,10
channel_cnt_ip_app,34048.53991699219,10
ip_nunique_channel,18968.789916992188,6
os_mean_target,7400.630126953125,3
app_nunique_channel,8980.779907226562,3
device_mean_target,19724.39990234375,2
