f,gain,split
nextClick,2467905.17,55
nextClick_shift,0.00,0
app,19202174.66,75
os,1038111.95,62
channel,27570825.02,148
device,187715.94,9
hour,401164.21,17
ip,3554524.04,218
ip_tcount,444147.58,21
ip_tchan_count,0.00,0
ip_app_count,788096.44,8
ip_app_os_count,36537.71,7
X0,943479.98,18
X1,11788.15,4
X2,1666.52,1
X3,188996.14,9
X4,408.15,1
X5,8899.54,2
X6,13913.11,2
X7,7033.32,3
X8,198633.10,11
ipday_count,1798322.50,13
