f,gain,split
channel,3831536.425048828,356
os,3316709.998111725,234
app,6798641.164306641,195
hour,1166674.7725830078,157
next_click_dt,8234817.546142578,145
ip_mean_target,1046457.1312255859,63
channel_cnt_ip_day_hour,1196174.0144042969,53
app_mean_target,132470131.4518013,42
app_nunique_ip_device_os,835292.1215820312,39
channel_nunique_ip,2034442.021484375,34
channel_cnt_ip_app,153609.6016998291,30
app_cumcnt_ip_device_os,707359.2864379883,28
hour_nunique_ip_day,2203560.8087768555,27
channel_mean_target,11618323.64855957,27
app_nunique_ip,3859260.379272461,25
device,420531.45568847656,24
ip,52216.909912109375,17
hour_mean_target,204165.19873046875,16
ip_nunique_channel,25655.009765625,9
os_mean_target,20606.762756347656,4
app_nunique_channel,5660.1400146484375,3
device_mean_target,12744.7802734375,2
day,0.0,0
ip_app_mean_target,0.0,0
app_channel_mean_target,0.0,0
