f,gain,split
nextClick,2379677.17,64
app,16667662.66,68
os,990928.72,42
channel,29889033.17,108
device,285645.89,13
hour,489870.96,27
ip_app_count,855037.34,10
X3,872839.51,25
X8,300354.85,14
ipday_count,2343967.92,33
ip_dev_os_cumcount,12092.20,4
