f,gain,split
channel,6610723.235229492,293
app,14520533.408203125,231
os,6704262.172241211,184
next_click_dt,15617906.24609375,132
hour,1851647.1208496094,126
ip_mean_target,1992450.1808395386,67
channel_cnt_ip_day_hour,1049961.4958343506,43
next_click_iodac,724510.0747070312,39
app_mean_target,235821813.79206848,37
channel_cnt_ip_device,1100754.2252197266,31
app_nunique_ip_device_os,1367618.3978271484,31
hour_nunique_ip_day,2184347.482788086,27
channel_cnt_ip_app_os,553472.1396484375,24
app_nunique_ip,7712911.60925293,23
channel_mean_target,10297523.154296875,22
device,785582.861328125,22
hour_mean_target,319444.2119140625,22
device_nunique_ip,1808202.5915527344,21
channel_nunique_ip,4044761.423461914,20
next_click_dt_ia,409737.5107421875,18
app_cumcnt_ip_device_os,854737.0490722656,16
os_nunique_ip_app,143333.6912841797,16
device_cnt_ip_app_os_channel_day_hour,139636.7392578125,15
device_cnt_app_channel,144604.48889160156,13
channel_cnt_ip_app,2972874.7907714844,12
ip,153752.3223876953,12
shift_iptcnt,257660.3076171875,9
