f,gain,split
channel,3550350.0932006836,270
app,7756030.0978393555,164
os,3134384.956298828,159
next_click_dt,7306348.645874023,111
hour,1109057.244140625,106
ip_mean_target,1041884.4000244141,50
channel_cnt_ip_day_hour,848249.1867675781,39
app_nunique_ip_device_os,588709.8059082031,31
app_mean_target,129412673.74153519,29
next_click_iodac,591061.04296875,26
channel_mean_target,12454285.501098633,26
app_nunique_ip,4097788.8602600098,23
hour_nunique_ip_day,1343001.375,20
channel_cnt_ip_device,468823.8376464844,20
channel_nunique_ip,1972980.760131836,19
device,406065.82556152344,19
channel_cnt_ip_app_os,285383.78955078125,17
hour_mean_target,193428.5408935547,16
next_click_dt_ia,375383.1984863281,15
device_nunique_ip,439930.419921875,14
device_cnt_app_channel,142676.12884521484,13
os_nunique_ip_app,85829.03137207031,13
app_cumcnt_ip_device_os,387227.9387207031,13
device_cnt_ip_app_os_channel_day_hour,75306.91979980469,12
shift_iptcnt,115737.66125488281,9
ip,35138.289794921875,9
channel_cnt_ip_app,1593450.0,5
