f,gain,split
channel,3414109.7997436523,246
app,6896213.202697754,166
os,3207378.5556640625,145
next_click_dt,7991970.857177734,129
hour,1113001.2231750488,102
ip_mean_target,1061879.905883789,53
channel_cnt_ip_day_hour,1197332.689819336,47
app_mean_target,132021686.1117096,36
app_nunique_ip,4300833.250244141,31
channel_mean_target,12123022.454956055,29
channel_nunique_ip,2084333.7819824219,26
app_nunique_ip_device_os,593415.8948974609,24
hour_nunique_ip_day,1909475.6620483398,22
channel_cnt_ip_app,153842.86010742188,17
device,375462.9493408203,16
app_cumcnt_ip_device_os,584898.1884765625,15
device_mean_target,150636.65014648438,12
ip,49130.558837890625,10
app_nunique_channel,5389.5999755859375,2
ip_app_os_device_mean_target,0.0,0
