f,gain,split
nextClick,2343680.82,48
app,12306980.61,50
os,1005314.87,29
channel,34095260.63,59
hour,374831.93,12
ip_app_count,1087033.79,7
X3,809397.34,17
X8,249532.44,14
ipday_count,1850340.20,21
ipday_count_roll,4821.81,1
ipday_cnt_delta,0.00,0
ipday_cnt_roll_delta,0.00,0
