f,gain,split
channel,5176731.952514648,918
os,3683810.1947021484,632
app,19736826.504333496,599
hour,1581050.5621032715,480
next_click_dt,8119655.452850342,303
ip_mean_target,1186292.5808105469,158
channel_cnt_ip_day_hour,1033852.3196716309,121
app_mean_target,108968397.18981934,104
app_nunique_ip_device_os,1078511.1159667969,98
next_click_iodac,1112002.5299682617,87
channel_nunique_ip,3102394.2260742188,87
os_nunique_ip_app,213402.98052978516,79
channel_mean_target,46540151.982666016,77
channel_cnt_ip_app_os,237021.40496826172,71
hour_nunique_ip_day,2176091.213195801,70
app_nunique_ip,3842346.313598633,69
channel_cnt_ip_app,182257.94787597656,61
device_nunique_ip,827462.1331787109,61
next_click_dt_ia,1136684.856994629,60
device_cnt_ip_app_os_channel_day_hour,137008.01342773438,58
device,453070.26583862305,54
hour_mean_target,269930.27432250977,53
app_cumcnt_ip_device_os,623034.1806640625,50
ip,66168.60925292969,49
shift_iptcnt,234448.17276000977,41
