f,gain,split
nextClick2,1444935.06,55
app,14016616.90,74
os,858925.68,55
channel,32914425.73,134
device,302914.96,12
hour,438718.48,27
ip_app_count,1010958.53,18
X3,699811.64,27
X8,134334.06,7
ipday_count,20316142.24,41
