f,gain,split
nextClick,2336445.48,56
app,12502374.37,53
os,1027489.97,33
channel,34084903.36,66
hour,542265.41,20
ip_app_count,801883.63,8
X3,582728.05,19
X8,395491.38,19
ipday_count,2188922.81,26
