f,gain,split
nextClick,2440224.39,77
app,16712873.49,81
os,1053900.72,62
channel,30034662.53,138
device,291869.87,17
hour,486244.82,33
ip_app_count,851790.26,15
X3,882015.64,25
X8,264572.81,12
ipday_count,2384764.68,42
X3_1,44570.19,2
