f,gain,split
nextClick,2486130.77,81
app,13857536.68,98
os,1167772.25,93
channel,32963120.26,192
device,322177.48,15
hour,590551.19,40
ip_app_count,948850.88,17
X3,1091686.11,29
X8,250720.00,15
ipday_count,2084566.12,44
