f,gain,split
channel,3402382.0137939453,280
os,3257858.758666992,165
app,6881219.428588867,155
hour,1040602.2434082031,114
next_click_dt,7338105.765869141,107
channel_cnt_ip_day_hour,885644.3923950195,44
ip_mean_target,914717.0974121094,39
app_mean_target,129867270.41706848,32
app_nunique_ip,3865710.657897949,28
next_click_iodac,379606.5604248047,26
app_nunique_ip_device_os,608887.7229003906,26
channel_nunique_ip,1876180.8815917969,25
device,435864.0692138672,23
app_cumcnt_ip_device_os,627078.14453125,20
channel_mean_target,14275111.768798828,19
hour_nunique_ip_day,1733649.0028076172,19
os_nunique_ip_app,144838.52795410156,18
next_click_dt_ia,897543.0949707031,18
hour_mean_target,230435.61083984375,16
device_nunique_ip,572748.9296875,15
device_cnt_ip_app_os_channel_day_hour,90918.90051269531,14
channel_cnt_ip_app_os,133502.02075195312,12
next_click_dt_adc,76084.65869140625,12
ip,35812.20983886719,10
shift_iptcnt,180430.89184570312,8
next_click_dt_iod,77985.201171875,8
channel_cnt_ip_app,18220.259521484375,5
next_click_iodc,3793.3099365234375,2
