f,gain,split
nextClick,2332734.43,54
app,16619523.48,56
os,940927.89,29
channel,29739416.05,78
device,277953.23,11
hour,461391.63,21
ip_app_count,846869.86,8
X3,854008.37,21
X8,300745.69,15
ipday_count,2312472.37,25
X3_2,0.00,0
