f,gain,split
nextClick,2243753.20,42
app,16563758.94,45
os,893399.56,22
channel,29580837.83,56
device,260526.46,7
hour,366615.48,13
ip_app_count,840811.13,6
X3,800183.25,15
X8,274255.06,10
ipday_count,2291407.62,22
ipday_count_roll,31256.73,2
